City_ID,City,Country,Lat,Lng,Max Temp,Percent Humidity,Precent Cloudiness,Wind Speed,Current Description
0,Baruun-Urt,MN,46.6806,113.2792,-3.87,96,29,2.46,scattered clouds
1,Norman Wells,CA,65.282,-126.8329,-11.16,64,100,21.85,light snow
2,Torbay,CA,47.6666,-52.7314,41.58,90,75,23.02,light intensity drizzle
3,Azuaga,ES,38.2667,-5.6833,60.46,54,0,0.09,clear sky
4,Haines Junction,CA,60.7522,-137.5108,33.75,86,89,3.44,overcast clouds
5,Labuhan,ID,-6.8844,112.2051,76.71,89,100,9.84,overcast clouds
6,Mar Del Plata,AR,-38.0023,-57.5575,78.82,69,0,11.5,clear sky
7,Kapaa,US,22.0752,-159.319,70.2,84,13,8.79,light rain
8,Carnarvon,AU,-24.8667,113.6333,77.07,73,0,16.11,clear sky
9,Ushuaia,AR,-54.8,-68.3,58.62,35,40,13.8,scattered clouds
10,Baruun-Urt,MN,46.6806,113.2792,-3.87,96,29,2.46,scattered clouds
11,Norman Wells,CA,65.282,-126.8329,-11.16,64,100,21.85,light snow
12,Torbay,CA,47.6666,-52.7314,41.58,90,75,23.02,light intensity drizzle
13,Azuaga,ES,38.2667,-5.6833,60.46,54,0,0.09,clear sky
14,Haines Junction,CA,60.7522,-137.5108,33.75,86,89,3.44,overcast clouds
15,Labuhan,ID,-6.8844,112.2051,76.71,89,100,9.84,overcast clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,78.82,69,0,11.5,clear sky
17,Kapaa,US,22.0752,-159.319,70.2,84,13,8.79,light rain
18,Carnarvon,AU,-24.8667,113.6333,77.07,73,0,16.11,clear sky
19,Ushuaia,AR,-54.8,-68.3,58.62,35,40,13.8,scattered clouds
20,Baruun-Urt,MN,46.6806,113.2792,-3.87,96,29,2.46,scattered clouds
21,Norman Wells,CA,65.282,-126.8329,-11.16,64,100,21.85,light snow
22,Torbay,CA,47.6666,-52.7314,41.58,90,75,23.02,light intensity drizzle
23,Azuaga,ES,38.2667,-5.6833,60.46,54,0,0.09,clear sky
24,Haines Junction,CA,60.7522,-137.5108,33.75,86,89,3.44,overcast clouds
25,Labuhan,ID,-6.8844,112.2051,76.71,89,100,9.84,overcast clouds
26,Mar Del Plata,AR,-38.0023,-57.5575,78.82,69,0,11.5,clear sky
27,Kapaa,US,22.0752,-159.319,70.2,84,13,8.79,light rain
28,Carnarvon,AU,-24.8667,113.6333,77.07,73,0,16.11,clear sky
29,Ushuaia,AR,-54.8,-68.3,58.62,35,40,13.8,scattered clouds
30,Port Alfred,ZA,-33.5906,26.891,69.24,81,0,8.14,clear sky
31,Albany,US,42.6001,-73.9662,43.48,55,9,3.0,clear sky
32,Jamestown,US,42.097,-79.2353,36.21,97,94,15.46,overcast clouds
33,Chimbote,PE,-9.0853,-78.5783,75.43,64,100,9.13,overcast clouds
34,Upernavik,GL,72.7868,-56.1549,-12.33,68,94,8.97,overcast clouds
35,Yellowknife,CA,62.456,-114.3525,-11.7,70,100,8.05,light snow
36,Tasiilaq,GL,65.6145,-37.6368,-0.24,65,51,10.31,broken clouds
37,Bucerias,MX,20.75,-105.3333,80.91,37,0,6.85,clear sky
38,Hilo,US,19.7297,-155.09,68.79,97,84,3.0,broken clouds
39,Gornopravdinsk,RU,60.05,69.9,1.31,96,56,7.23,broken clouds
40,Georgetown,MY,5.4112,100.3354,80.53,93,20,1.01,few clouds
41,Atuona,PF,-9.8,-139.0333,77.99,78,19,17.72,light rain
42,Bucarasica,CO,8.041,-72.8654,77.9,77,89,4.21,overcast clouds
43,Caceres,ES,39.522,-6.3748,52.45,63,0,3.06,clear sky
44,Maarianhamina,AX,60.0973,19.9348,39.06,81,0,9.22,clear sky
45,Bredasdorp,ZA,-34.5322,20.0403,74.52,53,0,18.41,clear sky
46,Chuy,UY,-33.6971,-53.4616,75.83,53,41,10.29,scattered clouds
47,Muisne,EC,0.6,-80.0333,82.51,81,98,9.1,light rain
48,Saldanha,ZA,-33.0117,17.9442,71.65,88,34,7.43,scattered clouds
49,Cururupu,BR,-1.8283,-44.8683,83.57,74,50,5.08,scattered clouds
50,Biak,ID,-0.9131,122.8766,76.66,83,100,4.27,overcast clouds
51,New Norfolk,AU,-42.7826,147.0587,62.1,65,84,1.99,broken clouds
52,Dalbandin,PK,28.8947,64.4101,54.81,23,0,7.92,clear sky
53,Punta Arenas,CL,-53.15,-70.9167,53.71,37,40,29.93,scattered clouds
54,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,40,17.27,scattered clouds
55,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,31,40,9.22,scattered clouds
56,Port Elizabeth,ZA,-33.918,25.5701,71.1,77,0,10.36,clear sky
57,Hualmay,PE,-11.0964,-77.6139,75.22,68,84,8.93,broken clouds
58,Kahului,US,20.8947,-156.47,74.84,77,31,5.99,scattered clouds
59,Saint-Denis,FR,48.9167,2.3333,52.29,66,0,4.61,clear sky
60,Sagua La Grande,CU,22.8067,-80.0756,85.53,50,12,5.66,few clouds
61,Busselton,AU,-33.65,115.3333,62.1,67,35,11.86,scattered clouds
62,Cherskiy,RU,68.75,161.3,-44.32,100,77,4.36,broken clouds
63,Cape Town,ZA,-33.9258,18.4232,72.88,72,0,12.66,clear sky
64,Codrington,AU,-38.2667,141.9667,56.84,88,63,6.17,broken clouds
65,Pimentel,PE,-6.8367,-79.9342,80.89,57,40,11.5,scattered clouds
66,Baruun-Urt,MN,46.6806,113.2792,-3.87,96,29,2.46,scattered clouds
67,Norman Wells,CA,65.282,-126.8329,-11.16,64,100,21.85,light snow
68,Torbay,CA,47.6666,-52.7314,41.58,90,75,23.02,light intensity drizzle
69,Azuaga,ES,38.2667,-5.6833,60.46,54,0,0.09,clear sky
70,Haines Junction,CA,60.7522,-137.5108,33.75,86,89,3.44,overcast clouds
71,Labuhan,ID,-6.8844,112.2051,76.71,89,100,9.84,overcast clouds
72,Mar Del Plata,AR,-38.0023,-57.5575,78.82,69,0,11.5,clear sky
73,Kapaa,US,22.0752,-159.319,70.2,84,13,8.79,light rain
74,Carnarvon,AU,-24.8667,113.6333,77.07,73,0,16.11,clear sky
75,Ushuaia,AR,-54.8,-68.3,58.62,35,40,13.8,scattered clouds
76,Port Alfred,ZA,-33.5906,26.891,69.24,81,0,8.14,clear sky
77,Albany,US,42.6001,-73.9662,43.48,55,9,3.0,clear sky
78,Jamestown,US,42.097,-79.2353,36.21,97,94,15.46,overcast clouds
79,Chimbote,PE,-9.0853,-78.5783,75.43,64,100,9.13,overcast clouds
80,Upernavik,GL,72.7868,-56.1549,-12.33,68,94,8.97,overcast clouds
81,Yellowknife,CA,62.456,-114.3525,-11.7,70,100,8.05,light snow
82,Tasiilaq,GL,65.6145,-37.6368,-0.24,65,51,10.31,broken clouds
83,Bucerias,MX,20.75,-105.3333,80.91,37,0,6.85,clear sky
84,Hilo,US,19.7297,-155.09,68.79,97,84,3.0,broken clouds
85,Gornopravdinsk,RU,60.05,69.9,1.31,96,56,7.23,broken clouds
86,Georgetown,MY,5.4112,100.3354,80.53,93,20,1.01,few clouds
87,Atuona,PF,-9.8,-139.0333,77.99,78,19,17.72,light rain
88,Bucarasica,CO,8.041,-72.8654,77.9,77,89,4.21,overcast clouds
89,Caceres,ES,39.522,-6.3748,52.45,63,0,3.06,clear sky
90,Maarianhamina,AX,60.0973,19.9348,39.06,81,0,9.22,clear sky
91,Bredasdorp,ZA,-34.5322,20.0403,74.52,53,0,18.41,clear sky
92,Chuy,UY,-33.6971,-53.4616,75.83,53,41,10.29,scattered clouds
93,Muisne,EC,0.6,-80.0333,82.51,81,98,9.1,light rain
94,Saldanha,ZA,-33.0117,17.9442,71.65,88,34,7.43,scattered clouds
95,Cururupu,BR,-1.8283,-44.8683,83.57,74,50,5.08,scattered clouds
96,Biak,ID,-0.9131,122.8766,76.66,83,100,4.27,overcast clouds
97,New Norfolk,AU,-42.7826,147.0587,62.1,65,84,1.99,broken clouds
98,Dalbandin,PK,28.8947,64.4101,54.81,23,0,7.92,clear sky
99,Punta Arenas,CL,-53.15,-70.9167,53.71,37,40,29.93,scattered clouds
100,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,40,17.27,scattered clouds
101,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,31,40,9.22,scattered clouds
102,Port Elizabeth,ZA,-33.918,25.5701,71.1,77,0,10.36,clear sky
103,Hualmay,PE,-11.0964,-77.6139,75.22,68,84,8.93,broken clouds
104,Kahului,US,20.8947,-156.47,74.84,77,31,5.99,scattered clouds
105,Saint-Denis,FR,48.9167,2.3333,52.29,66,0,4.61,clear sky
106,Sagua La Grande,CU,22.8067,-80.0756,85.53,50,12,5.66,few clouds
107,Busselton,AU,-33.65,115.3333,62.1,67,35,11.86,scattered clouds
108,Cherskiy,RU,68.75,161.3,-44.32,100,77,4.36,broken clouds
109,Cape Town,ZA,-33.9258,18.4232,72.88,72,0,12.66,clear sky
110,Codrington,AU,-38.2667,141.9667,56.84,88,63,6.17,broken clouds
111,Pimentel,PE,-6.8367,-79.9342,80.89,57,40,11.5,scattered clouds
112,Thompson,CA,55.7435,-97.8558,-3.84,71,75,5.75,broken clouds
113,Saint-Philippe,RE,-21.3585,55.7679,76.59,79,98,7.49,overcast clouds
114,Kanniyakumari,IN,8.0833,77.5667,76.93,75,98,15.66,overcast clouds
115,East London,ZA,-33.0153,27.9116,68.94,88,20,9.22,few clouds
116,Padang,ID,-0.9492,100.3543,75.61,65,100,7.25,overcast clouds
117,Butaritari,KI,3.0707,172.7902,81.64,78,100,15.86,overcast clouds
