City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Labuhan,ID,76.71,overcast clouds,-6.8844,112.2051,DoubleFAG
6,Mar Del Plata,AR,78.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
7,Kapaa,US,70.2,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
15,Labuhan,ID,76.71,overcast clouds,-6.8844,112.2051,DoubleFAG
16,Mar Del Plata,AR,78.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
17,Kapaa,US,70.2,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
25,Labuhan,ID,76.71,overcast clouds,-6.8844,112.2051,DoubleFAG
26,Mar Del Plata,AR,78.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
27,Kapaa,US,70.2,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
33,Chimbote,PE,75.43,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
37,Bucerias,MX,80.91,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
40,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
41,Atuona,PF,77.99,light rain,-9.8,-139.0333,Villa Enata
42,Bucarasica,CO,77.9,overcast clouds,8.041,-72.8654,ALTOS DEL BALCÓN
45,Bredasdorp,ZA,74.52,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
46,Chuy,UY,75.83,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
47,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
48,Saldanha,ZA,71.65,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
49,Cururupu,BR,83.57,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
50,Biak,ID,76.66,overcast clouds,-0.9131,122.8766,Penginapan Kim
55,Comodoro Rivadavia,AR,75.06,scattered clouds,-45.8667,-67.5,Austral Hotel
56,Port Elizabeth,ZA,71.1,clear sky,-33.918,25.5701,39 On Nile Guest House
57,Hualmay,PE,75.22,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
58,Kahului,US,74.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
63,Cape Town,ZA,72.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
65,Pimentel,PE,80.89,scattered clouds,-6.8367,-79.9342,Casona Del Muelle
71,Labuhan,ID,76.71,overcast clouds,-6.8844,112.2051,DoubleFAG
72,Mar Del Plata,AR,78.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
73,Kapaa,US,70.2,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
74,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
79,Chimbote,PE,75.43,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
83,Bucerias,MX,80.91,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
86,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
87,Atuona,PF,77.99,light rain,-9.8,-139.0333,Villa Enata
88,Bucarasica,CO,77.9,overcast clouds,8.041,-72.8654,ALTOS DEL BALCÓN
91,Bredasdorp,ZA,74.52,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
92,Chuy,UY,75.83,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
93,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
94,Saldanha,ZA,71.65,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
95,Cururupu,BR,83.57,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
96,Biak,ID,76.66,overcast clouds,-0.9131,122.8766,Penginapan Kim
101,Comodoro Rivadavia,AR,75.06,scattered clouds,-45.8667,-67.5,Austral Hotel
102,Port Elizabeth,ZA,71.1,clear sky,-33.918,25.5701,39 On Nile Guest House
103,Hualmay,PE,75.22,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
104,Kahului,US,74.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
109,Cape Town,ZA,72.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
111,Pimentel,PE,80.89,scattered clouds,-6.8367,-79.9342,Casona Del Muelle
113,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
114,Kanniyakumari,IN,76.93,overcast clouds,8.0833,77.5667,Sparsa
116,Padang,ID,75.61,overcast clouds,-0.9492,100.3543,Mercure Padang
